label,gate_chars,frontend_scorable_chars
L0067/key_reading.3nau9.yml,338,338
L0068/full_text_annotate.yehu3.yml,1469,1473
L0069/full_text_annotate.v9cjw.yml,1165,1175
L0069/key_reading.yumur.yml,349,349
L0070/full_text_annotate.cdhdt.yml,970,970
L0071/full_text_annotate.mkn9y.yml,856,903
L0071/key_reading.9rncr.yml,371,382
L0072/full_text_annotate.yk4tc.yml,869,879
L0072/key_reading.vfmem.yml,317,317
L0073/full_text_annotate.4ye9x.yml,917,917
L0073/key_reading.wtaem.yml,420,420
L0074/full_text_annotate.a4qjf.yml,877,924
L0074/key_reading.fedv9.yml,351,363
L0075/full_text_annotate.tvf6u.yml,908,939
L0075/key_reading.4jkpq.yml,287,293
L0076/full_text_annotate.qw9tk.yml,1051,1051
L0076/key_reading.6ye9h.yml,334,334
L0077/full_text_annotate.6cp4h.yml,734,746
L0078/full_text_annotate.3ynpe.yml,957,957
L0078/key_reading.hqnw3.yml,351,351
L0079/full_text_annotate.xxra4.yml,892,919
L0079/key_reading.qh7t4.yml,370,386
L0080/full_text_annotate.cmwwv.yml,1040,1053
L0080/key_reading.nkj9j.yml,340,340
L0081/full_text_annotate.v3nth.yml,821,854
L0081/key_reading.jwhh3.yml,316,323
L0082/full_text_annotate.67fkn.yml,738,746
L0082/key_reading.hna4h.yml,311,311
L0083/full_text_annotate.xmaax.yml,1052,1076
L0083/key_reading.7uv63.yml,294,294
L0084/full_text_annotate.nypwh.yml,941,941
L0084/key_reading.fff44.yml,273,273
L0085/full_text_annotate.ttk9y.yml,882,893
L0085/key_reading.eekyd.yml,344,344
L0086/full_text_annotate.rdyd6.yml,743,755
L0086/key_reading.peed4.yml,292,300
L0087/full_text_annotate.rpcyh.yml,1019,1024
L0087/key_reading.haxwv.yml,295,295
L0088/full_text_annotate.y4x3j.yml,1124,1151
L0088/key_reading.6nfav.yml,338,346
L0089/full_text_annotate.f7mav.yml,1280,1280
L0089/key_reading.uf6ny.yml,376,376
L0090/full_text_annotate.4x996.yml,913,1001
L0090/key_reading.6pvew.yml,281,327
L0091/full_text_annotate.yvw4a.yml,910,1007
L0091/key_reading.64w9q.yml,402,435
L0092/full_text_annotate.ymrp3.yml,1003,1033
L0092/key_reading.4det3.yml,301,301
L0093/full_text_annotate.ch7x6.yml,1194,1204
L0093/key_reading.fuvjp.yml,319,324
L0094/full_text_annotate.qxvp9.yml,828,828
L0094/key_reading.dhjfd.yml,346,346
L0095/full_text_annotate.9yvqf.yml,946,992
L0095/key_reading.yqvaj.yml,326,326
L0096/full_text_annotate.rnuuy.yml,996,1032
L0096/key_reading.unxym.yml,448,460
L0097/full_text_annotate.pa39q.yml,864,869
L0097/key_reading.jj9ka.yml,320,324
L0098/full_text_annotate.phue3.yml,690,690
L0098/key_reading.wkrwk.yml,365,365
L0099/full_text_annotate.e9tc4.yml,1234,1240
L0099/key_reading.6jvyf.yml,367,373
L0100/full_text_annotate.rcmdx.yml,811,823
L0100/key_reading.9jqxw.yml,346,358
L0101/full_text_annotate.ffk64.yml,816,816
L0101/key_reading.cw744.yml,415,415
L0102/full_text_annotate.eujnf.yml,957,964
L0102/key_reading.7nadf.yml,356,356
L0103/full_text_annotate.uwr7r.yml,1004,1011
L0103/key_reading.dxjyx.yml,305,312
L0104/full_text_annotate.nperf.yml,1152,1166
L0104/key_reading.k9fef.yml,404,404
L0105/full_text_annotate.qqppu.yml,1203,1213
L0105/key_reading.6mwkt.yml,371,371
L0106/full_text_annotate.p9whw.yml,484,484
L0107/full_text_annotate.6ra7e.yml,734,746
L0108/full_text_annotate.xv76d.yml,986,1047
L0108/key_reading.eunmy.yml,296,311
L0109/full_text_annotate.ptwcu.yml,1106,1106
L0109/key_reading.jfpu3.yml,345,345
L0110/full_text_annotate.uw6dr.yml,1191,1206
L0110/key_reading.jx79c.yml,308,312
L0111/full_text_annotate.33uhx.yml,369,376
L0111/full_text_annotate.r4d9j.yml,360,383
L0112/full_text_annotate.heaup.yml,960,1003
L0112/key_reading.hk7wa.yml,345,355
L0113/full_text_annotate.3mx6k.yml,1092,1119
L0113/key_reading.wcxwp.yml,310,310
L0114/full_text_annotate.69exm.yml,1058,1080
L0114/key_reading.vrpan.yml,359,359
